Lname,Fname,Regiment,RankCasualtie,RankSoldier,Junk
EVANS,ALFRED JAMES LAWRENCE,,Lieutenant,LT,0
FARQUHAR,FRANCIS DOUGLAS,,Lieutenant Colonel,LCL,0
FITZGERALD,FREDERICK,,Captain,CPT,0
FITZPATRICK,WILFRED,,Lieutenant,LT,0
FLEMING,HAMILTON MAXWELL,,Captain,CPT,0
FRANCKLYN,GEORGE EDWARD,,Captain,CPT,0
FYSHE,FRANCIS,,Lieutenant,LT,0
GALT,JOHN,,Lieutenant,LT,0
GEDDES,JOHN,,Captain,CPT,0
GLIDDON,GEORGE CLARENCE,,Captain,CPT,0
GLOVER,JOHN DONALD,,Captain,CPT,0
GORDON,WALTER LESLIE LOCKHART,,Captain,CPT,0
GOUGH,GEOFFREY CHARLES,,Lieutenant,LT,0
HALLAM,ERNEST WALTER,,Captain,CPT,0
HART-MCHARG,WILLIAM FREDERICK RICHARD,,Lieutenant Colonel,LCL,0
HARVEY,ROBERT VALENTINE,,Captain,CPT,0
HELLIWELL,JOSEPH GRANT,,Captain,CPT,0
HELMER,ALEXIS HANNUM,,Lieutenant,LT,0
HIGGINSON,JOHN LUCAS,,Captain,CPT,0
HIGINBOTHAM,GEORGE M,,Major,MAJ,0
HOLMES,CARLETON COLQUHOUN,,Lieutenant,LT,0
HORNBY,GEOFFREY,,Lieutenant,LT,0
HOSKINS,RONALD,,Lieutenant,LT,0
HUGHES,CHESTER,,Lieutenant,LT,0
INGLES,GEORGE LEYCESTER,,Chaplain 4th Class,CPT,0
JAMES,CECIL ARTHUR,,Lieutenant,LT,0
JAMESON,GEORGE WILLIS,,Captain,CPT,0
JARVIS,WILLIAM DUMMER POWELL,,Lieutenant,LT,0
JESSOP,NAPIER ARNOTT,,Lieutenant,LT,0
JONES,MCCULLOCH HILL,,Lieutenant,LT,0
KELLY,EDWARD THOMAS,,Major,MAJ,0
KENWORTHY,JOHN GIBSON,,Lieutenant,LT,0
KERR,HERBERT GLADSTONE,,Lieutenant,LT,0
KERR,JOHN ROY,,Private,,0
KIMMINS,ALBERT EDWARD,,Major,MAJ,0
KING-MASON,CHARLES GEORGE DALEGARTH,,Lieutenant,LT,0
KIRKPATRICK,ALEXANDER DOUGLAS,,Lieutenant,LT,0
LANGMUIR,GAVIN INCE,,Lieutenant,LT,0
LATTA,ROBERT PETER,,Lieutenant,LT,0
LAWSON,CHARLES MURRAY,,Lieutenant,LT,0
LEES,GERALD OSCAR,,Captain,CPT,0
LEWIS,STANLEY EDWARD,,Lieutenant,LT,0
LINDSAY,ARTHUR LODGE,,Lieutenant,LT,0
LOCKHART,THOMAS DOWNIE,,Lieutenant,CPT,0
MACDONALD,MADO DANIEL,,Lieutenant,LT,0
MACGREGOR,ARCHIBALD ROBERT,,Captain,CPT,0
MACKAY,ALEXANDER HENRY,,Lieutenant,LT,0
MACKAY,DONALD ROY,,Captain,CPT,0
MACKENZIE,WALLACE ALEXANDER,,Lieutenant,LT,0
MARKHAM,RALPH FARRAR,,Captain,CPT,0
MCGEE,CHARLES EDWARD,,Captain,CPT,0
MCGREGOR,JAMES HERRICK,,Captain,CPT,0
MCGUIRE,HARRY BOULTON,,Lieutenant,LT,0
MCLAREN,JOSEPH,,Major,MAJ,0
MCLEOD,HARVEY GARFIELD,,Major,MAJ,0
MCMEANS,ERNEST D'HARCOURT,,Captain,CPT,0
MEDLAND,FREDERICK ROSS,,Lieutenant,LT,0
MEIKLE,DAVID,,Lieutenant,LT,0
MERCER,ARTHUR EDWARD,,Captain,CPT,0
MERRITT,CECIL MACK,,Captain,CPT,0
METCALFE,GEORGE ANDREW,,Lieutenant,LT,0
MONKMAN,HERBERT STANLEY,,Captain,CPT,0
MORGAN,ALBERT NORTON,,Lieutenant,LT,0
MORRISON,THOMAS EDMOND,,Captain,CPT,0
MOUCK,ERNEST,,Captain,CPT,0
MUIR,ARTHUR EDWARD,,Lieutenant,LT,0
MUNDELL,DAVID,,Lieutenant,LT,0
MUNTZ,HERBERT GERARD,,Captain,CPT,0
NASMYTH,JAMES THOMAS,,Lieutenant,CPT,0
NORSWORTHY,EDWARD CUTHBERT,,Major,MAJ,0
OAKES,HENRY KELLETT,,Captain,CPT,0
PARKER,CYRIL EDMUND,,Second Lieutenant,LT,0
PASSMORE,HAROLD EGBERT,,Lieutenant,LT,0
PICK,PETER WILSON,,Captain,CPT,0
PICTON-WARD,ESPINE MONTGOMERY,,Lieutenant,LT,0
POTT,FRANK,,Captain,CPT,0
PRICE,CHARLES HERITAGE,,Lieutenant,LT,0
REEVE,WILLIAM AUGUSTUS,,Lieutenant,LT,0
REYNOLDS,JOHN EDWARD,,Lieutenant,LT,0
ROBINSON,FREDERIC WILFRED,,Captain,CPT,0
ROSS,GEORGE HUNTINGTON,,Captain,CPT,0
RYERSON,GEORGE CROWTHER,,Captain,CPT,0
SHAW,ALLAN CRAWFORD,,Major,MAJ,0
STEACIE,RICHARD,,Captain,CPT,0
STRANGE,FRANK,,Lieutenant Colonel,LCL,0
STROOD,PERCY SAMSON,,Lieutenant,LT,0
SWIFT,THOMAS LEMON,,Lieutenant,LT,0
TAYLOR,GEOFFREY BARRON,,Lieutenant,LT,0
TENAILLE,DANIEL JEAN,,Major,MAJ,0
TENNANT,WILLIAM GALBRAITH,,Lieutenant,LT,0
TODHUNTER,GILBERT,,Lieutenant,LT,0
TOFFT,PAUL GEORGE,,Lieutenant,LT,0
TRANTER,JOSEPH LIONEL,,Lieutenant,LT,0
WALLACE,HENRY ATHOLL CHARLES,,Captain,CPT,0
WARD,JOHN SIMEON,,Major,MAJ,0
WARREN,TRUMBULL,,Captain,CPT,0
WASHINGTON,HUBERT HOWELLS,,Lieutenant,LT,0
WHITE,ALBERT,,Private,,0
WHITEHEAD,LIONEL WARD,,Captain,CPT,0
WILLIAMS,ALBERT THOMAS,,Private,,0
WILLIAMSON,GEORGE MASSEY,,Lieutenant,LT,0
WRIGHT,GORDON BROOKS,,Major,MAJ,0
AYLEN,CYRIL KEITH,,Lieutenant,LT,0
BATES,WILLIAM,,Major,MAJ,0
BELL,ALEXANDER HERBERT,,Captain,CPT,0
BELL,REGINALD WILBERFORCE,,Lieutenant,LT,0
BELYEA,WARREN HERBERT,,Major,MAJ,0
BINGAY,LLOYD WOOLSEY,,Captain,CPT,0
BLATCHFORD,THOMAS LEWIS,,Captain,CPT,0
BRITTON,JOHN CLAYTON,,Private,,0
BRUCE,GEORGE WILLIAM,,Lieutenant Colonel,LCL,0
BUCHANAN,LEO,,Lieutenant,LT,0
BUCHANAN,REGINALD HEBER BANCROFT,,Lieutenant,LT,0
CLEGHORN,ALLEN MACKENZIE,,Captain,CPT,0
DAW,HERBERT BETHUNE,,Lieutenant,LT,0
DOHENY,JOHN EDWARD,,Lieutenant,LT,0
DUFF,HEW RAMSAY,,Lieutenant Colonel,LCL,0
EADIE,SHAVER,,Captain,CPT,0
FIELD,CHARLES VALENTINE GEARY,,Lieutenant,LT,0
GODWIN,CHARLES RICHARD MAGRATH,,Lieutenant,LT,0
GRAVES,GEOFFREY AUSTIN JOSEPH,,Lieutenant,LT,0
GRIFFIN,ARTHUR LIONEL,,Captain,LT,0
HATTON,THOMAS,,Lieutenant,LT,0
HAZEN,JAMES MURRAY,,Lieutenant,LT,0
HEUSTON,FRANCIS ROBERT,,Lieutenant,LT,0
HOPKINS,FRED HOLMES,,Lieutenant Colonel,LCL,0
HORSEY,CLIFTON MANBANK,,Lieutenant,LT,0
HUBLEY,HAROLD,,Private,,0
IRVINE,ANDREW BALFOUR,,Lieutenant,LT,0
JOHNSON,LACEY ARTHUR,,Lieutenant,LT,0
JONES,RALPH EGERTON NORRIS,,Lieutenant,LT,0
LAWSON,FRANK,,Lieutenant,LT,0
LECKIE,NORMAN EWING,,Major,MAJ,0
LOCKHART,FRANK EDWIN,,Lieutenant,LT,0
MATTHEWS,ALFRED JOSEPH,,Captain,CPT,0
MCGIBBON,GILBERT DONALD,,Captain,MAJ,0
MCLAREN,FREDERICK GATES,,Lieutenant,LT,0
MEAD,THOMAS CHARLES,,Private,,0
MILLS,ROBERT SYDNEY,,Lieutenant,LT,0
MITCHELL,JAMES,,Second Lieutenant,CPT,0
MORROW,JAMES CURZON,,Lieutenant,LT,0
MUTRIE,ROBERT JOHN,,Major,MAJ,0
NASH,JOHN FOSTER PATON,,Captain,CPT,0
PEERLESS,ARTHUR NEVILLE,,Lieutenant,LT,0
ROBERTSON,JAMES ERNEST,,Lieutenant,LT,0
SALE,CHARLES EDWARD,,Major,MAJ,0
SHAUGHNESSY,ALFRED THOMAS,,Captain,CPT,0
SKEAFF,JOHN MURRAY,,Lieutenant,LT,0
STEWART,RAYMOND,,Private,,0
TEMPLE,ANTHONY,,Captain,CPT,0
WOODS,THOMAS ZACHARY,,Captain,CPT,0
YATES,HENRY BRYDGES,,Lieutenant Colonel,LCL,0
ADAMS,CHARLES CECIL OGDEN MACFEE,,Lieutenant,LT,0
AITKEN,ROBERT JAMES,,Captain,CPT,0
ALLAN,EDWARD BLAKE,,Lieutenant,LT,0
ANDERSON,DAVID STEWART,,Lieutenant,LT,0
BAINES,EGERTON BANCKS,,Lieutenant,LT,0
BAKER,GEORGE HAROLD,,Lieutenant Colonel,LCL,0
BALLACHEY,PANAYOTY PERCY,,Major,MAJ,0
BARTLE,DEANE STANLEY,,Lieutenant,LT,0
BATEMAN,CHARLES ARTHUR,,Lieutenant,LT,0
BATEMAN,GEORGE SIMPSON,,Lieutenant,LT,0
BEAUBIEN,LOUIS ANTONIO,,Lieutenant,LT,0
BELL,SYDNEY WILLIAM,,Lieutenant,LT,0
BERKINSHAW,EDWIN LYLE,,Captain,CPT,0
BIRD,FRANCIS WILLIAM,,Lieutenant,LT,0
BORTHWICK,DAVID SCOTT,,Lieutenant,LT,0
BOSTOCK,ALEXANDER HEWITT,,Lieutenant,LT,0
BOTTERELL,EDWARD SIMPSON,,Captain,CPT,0
BOURNE,HERBERT HALLOWELL,,Lieutenant,LT,0
BOYD,HENRY ORMSBY,,Second Lieutenant,MAJ,0
BRITTAN,STANLEY VICTOR,,Lieutenant,LT,0
BRODIE,THOMAS GREGOR,,Captain,CPT,0
BROSSEAU,JACQUES,,Lieutenant,LT,0
BROWNE,HARRY DALZELL,,Lieutenant,LT,0
BUTTERWORTH,ALFRED FRANCIS,,Captain,CPT,0
CAMPBELL,GEORGE HENDERSON,,Lieutenant,LT,0
CARTHEW,WILLIAM MORDEN,,Lieutenant,LT,0
CASCADEN,JOHN BRYSON,,Lieutenant,LT,0
CHAPMAN,JACKSON ALEXANDER FLETCHER,,Lieutenant,LT,0
CLAPPERTON,GEORGE,,Lieutenant,LT,0
CLARKE,LIONEL ESMONDE,,Lieutenant,LT,0
COCKSHUTT,HARVEY WATT,,Lieutenant,LT,0
CONNELL,ERIC MACINTYRE,,Lieutenant,LT,0
CONNOR,WILLIAM JOSEPH SANDERSON,,Lieutenant,LT,0
CORDINGLEY,ROBERT CECIL,,Lieutenant,LT,0
CORNISH,PHILIP VICTOR,,Captain,CPT,0
CORR,FRANK JOSEPH,,Lieutenant,LT,0
COTTON,CHARLES PENNER,,Lieutenant,LT,0
COTTON,ROSS PENNER,,Captain,CPT,0
COWAN,ALAN WILLIAM RUSSELL,,Lieutenant,LT,0
CRAGG,GERALD EDWIN,,Lieutenant,LT,0
CUTTEN,LESLIE RAYMOND,,Captain,CPT,0
DENNISTOUN,JOHN ROMEYN,,Lieutenant,LT,0
DOBSON,WILFRED JAMES,,Captain,MAJ,0
DUNN,JOSEPH DONALD,,Lieutenant,LT,0
FENNELL,THOMAS HAROLD,,Lieutenant,LT,0
FIFE,GORDON STANLEY,,Lieutenant,LT,0
FISHER,EDWIN MAURICE,,Captain,CPT,0
FISHER,HAROLD LAURENCE,,Lieutenant,LT,0
FISHER,HARRY WATERMAN,,Lieutenant,LT,0
FORD,ROBERT BERTRAM,,Lieutenant,LT,0
FRASER,FINLAY DAVID,,Captain,CPT,0
FULLER,HOWARD,,Lieutenant,LT,0
GALLEN,HAROLD,,Lieutenant,LT,0
GANE,FRANCIS EGMONT,,Captain,LT,0
GODWIN,JOHN LOCKHART,,Lieutenant,LT,0
GORDON,HENRY RUSSELL,,Lieutenant,LT,0
GOULT,HARRY GEORGE,,Lieutenant,LT,0
GRANT,OSWALD WETHERALD,,Lieutenant,LT,0
GRASETT,HUGH MACKAY,,Lieutenant,LT,0
GREENSHIELDS,MELVILLE,,Captain,CPT,0
HAFFNER,HENRY JOHN,,Lieutenant,LT,0
HAGARTY,DANIEL GALER,,Lieutenant,LT,0
HARLING,THOMAS LESLIE,,Lieutenant,LT,0
HAY,ARCHIBALD WALTER,,Lieutenant Colonel,LCL,0
HETHERINGTON,FRANCIS MARTIN,,Lieutenant,LT,0
HETHERINGTON,JOHN EDGAR,,Lieutenant,LT,0
HOARE,CHARLES WALTER,,Lieutenant,LT,0
HOLCROFT,HERBERT SPENCER,,Lieutenant,LT,0
HOLMES,WILLIAM DUMBLETON,,Captain,CPT,0
INCE,WILLIAM CAMPBELL,,Lieutenant,LT,0
JAMESON,CHARLES INGLIS,,Lieutenant,LT,0
JONES,TRAFFORD,,Lieutenant,LT,0
KENNEDY,JOHN KEEFER,,Lieutenant,LT,0
KIMBALL,MERRITT PAUL,,Lieutenant,LT,0
KING,ARTHUR MILES,,Lieutenant,LT,0
KNIGHT,GEORGE WILLIAM,,Lieutenant,LT,0
KYLIE,EDWARD JOSEPH,,Captain,CPT,0
LAYTON,FRANCIS PAUL HAMILTON,,Lieutenant,LT,0
LEWIS,SPENCER HERBERT,,Captain,LT,0
LOFT,AMBROSE ARTHUR,,Captain,CPT,0
MACDONELL,IAN CAMERON,,Lieutenant,LT,0
MACDOUGALL,ANDREW,,Lieutenant,LT,0
MACDOUGALL,EWAN ALAN,,Major,MAJ,0
MACFARLANE,BRUCE CAMPBELL,,Lieutenant,LT,0
MACKENZIE,GEORGE LAWRENCE BISSET,,Lieutenant,LT,0
MACKENZIE,KENNETH,,Captain,CPT,0
MACLEOD,DAVID DOUGLAS,,Captain,CPT,0
MAJOR,ALBERT FREDERICK,,Lieutenant,LT,0
MALLALUE,MAXWELL,,Captain,LT,0
MALONE,MAURICE EDWARD,,Lieutenant,LT,0
MARSHALL,WILLIAM RENWICK,,Lieutenant Colonel,LCL,0
MATTHEW,ROBERT THEODORE,,Lieutenant,LT,0
MATTHEWS,HAROLD STRATTON,,Lieutenant,LT,0
MCGOVERN,ARTHUR LAWRENCE,,Captain,CPT,0
MCGOWAN,CHARLES,,Lieutenant,LT,0
MCNAIR,GEORGE ORME,,Captain,CPT,0
MCNAUGHTON,PETER,,Captain,CPT,0
MILLS,JOHN,,Lieutenant,LT,0
MILNE,JOHN CLARENCE,,Captain,CPT,0
MOORS,WILLIAM WELLINGTON,,Major,MAJ,0
MORISON,ROBERT WILLIAM,,Lieutenant,LT,0
MORRISEY,GEORGE,,Lieutenant,LT,0
MOULT,HENRY,,Private,,0
MURRAY,AUSTIN RUSSELL,,Lieutenant,LT,0
NATION,GEORGE WALTER,,Lieutenant,LT,0
PATTERSON,NOLAN TWEEDDALE,,Lieutenant,LT,0
PAYNE,RICHARD NORMAN,,Lieutenant,LT,0
PEAKER,CECIL HOWARD,,Lieutenant,LT,0
PERKINS,WILLIAM,,Private,,0
PETERS,GERALD HAMILTON,,Lieutenant,LT,0
PILCHER,NORMAN CAMPBELL,,Major,MAJ,0
PINEO,HENRY HOYT,,Captain,CPT,0
PITTS,HARRY JAMES,,Captain,CPT,0
PLANTE,LOUIS ALEXANDRE,,Major,CPT,0
POPE,CHARLES ALEXANDER,,Lieutenant,LT,0
PRICE,HAROLD,,Captain,LT,0
PRINGLE,THOMAS STANLEY,,Lieutenant,LT,0
PROSSER,ARTHUR DILLWYN,,Lieutenant,LT,0
QUANBURY,JOHN HENRY,,Lieutenant,LT,0
RAYNER,FAIRBURN ANDREW,,Lieutenant,LT,0
RICHARDS,JOSEPH VANSTON,,Lieutenant,LT,0
RICHARDSON,ALAN SKIRVING,,Lieutenant,LT,0
RIMMER,ALFRED BALDWIN,,Lieutenant,LT,0
ROBINSON,FREDERICK REGINALD,,Lieutenant,LT,0
ROCHE,CHARLES JOSEPH,,Lieutenant,LT,0
ROSE,EDWARD LEIGH,,Lieutenant,LT,0
ROSS,GEORGE ADAM RUSSELL,,Lieutenant,LT,0
ROSS,JOHN ALEXANDER,,Second Lieutenant,MAJ,0
ROUNDING,LEWIS ARTHUR,,Captain,CPT,0
ROWLES,BERTIE HAMILTON,,Lieutenant,LT,0
RUSSELL,JAMES,,Lieutenant,,0
RUST,BENJAMIN HENRY,,Captain,CPT,0
SAUNDERS,AUSTIN LYMAN,,Captain,CPT,0
SAUNDERS,THOMAS BREHAUT,,Lieutenant,LT,0
SCOTT,ARTHUR GEORGE,,Captain,CPT,0
SELBIE,ROBERT JOSEPH,,Lieutenant,LT,0
SERVICE,ALBERT NIVEN PARKER,,Lieutenant,LT,0
SHAW,ALFRED ERNEST,,Lieutenant Colonel,LCL,0
SIMPSON,JAMES DUNCAN,,Lieutenant,LT,0
SKINNER,FRANK WILLIAM,,Lieutenant,LT,0
SMITH,CHARLES JOHN,,Major,CPT,0
STEVENS,WILLIAM DUNCAN,,Lieutenant,LT,0
STEWART,CHARLES WALTER,,Major,MAJ,0
SYMONS,JOHN HANNAFORD,,Captain,CPT,0
TANNER,ARTHUR WILLIAM,,Lieutenant Colonel,LCL,0
THOMSON,JOHN LESLIE,,Lieutenant,LT,0
THORPE,JAMES STOKESBURY,,Lieutenant,LT,0
THURSTON,ARNOLD MONROE,,Lieutenant,LT,0
TURNBULL,KENNETH,,Lieutenant,LT,0
UGLOW,HENRY WRIGHT,,Lieutenant,LT,0
VALLANCE,HENRY WALTER,,Lieutenant,LT,0
VANSITTART,GEORGE EDWARD,,Major,MAJ,0
VESSEY,EDWARD JOHN,,Captain,CPT,0
VOYCE,THOMAS ARCHIBALD,,Lieutenant,LT,0
WALKER,JAMES GILBERT,,Lieutenant,LT,0
WANKLYN,ANDREW ANGUS,,Lieutenant,LT,0
WATERSTON,DOUGLAS,,Captain,CPT,0
WATSON,FREDERICK JOHNSTON,,Lieutenant,LT,0
WATTS,ROBERT EDWARD,,Lieutenant,LT,0
WHITEHEAD,HERBERT HOWARD,,Lieutenant,LT,0
WILLIAMS,ARTHUR JAMES,,Major,MAJ,0
WOOD,STANLEY WILLIS,,Captain,CPT,0
YOUNG,ALEXANDER,,Major,MAJ,0
ZIEGLER,ERIC HALLMAN,,Lieutenant,LT,0
AGNEW,AUGUSTUS WATEROUS,,Major,MAJ,0
ALLAN,WILLIAM DONALD,,Lieutenant Colonel,LCL,0
ALLEN,BERTRAM KERR,,Lieutenant,LT,0
AMBERY,COLLEY LYONS FOSTER,,Captain,CPT,0
ASHPLANT,WILLIAM NORMAN,,Major,MAJ,0
ASTBURY,NEVILLE AYRTON,,Lieutenant,LT,0
BAIN,GEORGE,,Private,,0
BAKER,HARRY CHARLES,,Captain,CPT,0
BARCLAY,LINDSAY TRAILL,,Lieutenant,LT,0
BARNES,REGINALD BROOKE,,Lieutenant,LT,0
BEECROFT,HARVEY TAYLOR,,Lieutenant,LT,0
BELL,CHARLES ARTHUR,,Lieutenant,LT,0
BELL,WILLIAM DOUGLAS,,Lieutenant,LT,0
BELZILE,CHARLES EUGENE,,Lieutenant,LT,0
BERTRAM,JAMES KNOWLES,,Staff Captain,CPT,0
BINET,LOUIS JOSEPH,,Lieutenant,LT,0
BISHOP,ARTHUR LEONARD,,Lieutenant,LT,0
BLAIR,ORMOND THOMAS,,Lieutenant,LT,0
BOTHWELL,GEORGE EDWIN,,Lieutenant,LT,0
BOWLBY,GEORGE HERBERT,,Captain,CPT,0
BOWRING,CHARLES THURSTON,,Lieutenant,LT,0
BOYD,MOSSOM RICHARD,,Lieutenant,LT,0
BREWSTER,HAROLD STAPLES,,Lieutenant,LT,0
BROCK,JOHN DANIEL,,Lieutenant,LT,0
BROOKS,ERNEST JOHN,,Major,MAJ,0
BROWNLEE,WILLIAM FISHER,,Lieutenant,LT,0
BRYSON,ELMER CLARK,,Lieutenant,LT,0
BUCHANAN,VICTOR CARL,,Lieutenant Colonel,LCL,0
BURROWS,BRUCE HOSMER ACTON,,Lieutenant,LT,0
CAMPBELL,WARREN KNIGHT,,Lieutenant,LT,0
CAREY,CONRAD GEORGE,,Lieutenant,LT,0
CAREY,WILLIAM VINCENT,,Lieutenant,LT,0
CARMICHAEL,KENNETH MILLER,,Lieutenant,LT,0
CARSS,ADAIR,,Lieutenant,LT,0
CAVANAGH,HARRY,,Lieutenant,LT,0
CHAUVIN,EDWARD HENRY,,Lieutenant,LT,0
CLINKSKILL,JAMES THOMAS,,Captain,CPT,0
CONNERS,ALLAN DE VERE,,Major,MAJ,0
CONRAD,ERVIN SIMEON,,Lieutenant,LT,0
COOKE,JOHN SODEN,,Lieutenant,LT,0
COTTAM,BARTHOLOMEW,,Lieutenant,LT,0
COWAN,STEWART,,Lieutenant,LT,0
CREASY,WALTER,,Lieutenant,LT,0
CRUMB,ERIC LEANDER,,Lieutenant,LT,0
CULLUM,JOHN ARTHUR,,Captain,CPT,0
CURRIER,EVERETT DYSON,,Lieutenant,LT,0
DANN,EYRE FREDERICK MORTON,,Lieutenant,LT,0
DAVIS,DONALD,,Captain,LT,0
DAVIS,IRWIN,,Lieutenant,LT,0
DECHENE,ARTHUR MIVILLE,,Captain,CPT,0
DEVLIN,HENRY LYMAN,,Lieutenant,LT,0
DICKEY,HORACE ARTHUR,,Captain,CPT,0
DIVER,FREDERICK GEORGE,,Lieutenant,LT,0
DOANE,WILLIAM EDWARD EVERETT,,Lieutenant,LT,0
DODWORTH,CECIL GRAYSON,,Lieutenant,LT,0
DRADER,ROBERT EUGENE,,Lieutenant,LT,0
DUFF,JAMES ROBERTSON,,Lieutenant,LT,0
DUNK,STEPHEN,,Lieutenant,LT,0
DUNSFORD,LEONARD,,Lieutenant,LT,0
DYKEMAN,CHARLES EDGAR,,Lieutenant,LT,0
ECCLES,VERNON JOHN LAMONT,,Captain,CPT,0
EDGAR,FRANCIS,,Lieutenant,LT,0
EKERS,ARCHER,,Lieutenant,LT,0
FAIR,ROBERT MCCAMUS,,Captain,CPT,0
FAIRWEATHER,FRANK RUSSELL,,Captain,CPT,0
FENTON,HUBERT JEFFERSON,,Lieutenant,LT,0
FERRIS,ERNEST LYON,,Captain,LT,0
FOLEY,FREDERICK DAVID,,Lieutenant,LT,0
FORSTER,JAMES HERBERT,,Captain,CPT,0
FOSTER,WILLIAM GORE,,Lieutenant,LT,0
FRASER,ALEXANDER GORDON,,Lieutenant,LT,0
FRASER,ARCHIBALD BRYDONE,,Lieutenant,LT,0
GAETZ,HAROLD LEONARD,,Major,MAJ,0
GALT,GERALD,,Lieutenant,LT,0
GARROW,JOHN URE,,Lieutenant,LT,0
GILKER,JOHN SAMUEL,,Major,MAJ,0
GILROY,SIDNEY WELLINGTON,,Major,MAJ,0
GODDARD,ARCHIBALD SPENCER,,Captain,CPT,0
GOODALL,SYDNEY HERBERT,,Major,MAJ,0
GOODE,HERBERT JAMES,,Lieutenant,LT,0
GORDON,CHARLES,,Lieutenant,LT,0
GORDON,WALTER HETHERINGTON,,Lieutenant,LT,0
GRANT,JAMES HENRY,,Lieutenant,LT,0
GRANT,WILLIAM HENRY,,Major,CPT,0
GRAY,JOHN,,Lieutenant,LT,0
GREENE,ROBERT ERIC,,Lieutenant,LT,0
GYSIN,LEONARD SAMUEL,,Major,MAJ,0
HALL,FRANKLIN EDWARD,,Major,MAJ,0
HALL,FREDERICK AVERILL,,Lieutenant,LT,0
HALL,HARRY JOHN,,Major,MAJ,0
HAMILTON,JAMES ARLON,,Lieutenant,LT,0
HARPER,JOHN ARTHUR,,Lieutenant,LT,0
HAY,JOHN GILMOUR,,Lieutenant,LT,0
HEATH,CLENDON CHARLES,,Lieutenant,LT,0
HEBB,GORDON MAURICE,,Lieutenant,LT,0
HEXTALL,LEONARD JOHN,,Lieutenant,LT,0
HOBKIRK,CHARLES HAMILTON,,Lieutenant,LT,0
HOLDSWORTH,THOMAS WENDELL,,Lieutenant,LT,0
HOLLAND,HICKSON RAINS,,Major,MAJ,0
HOLMES,VICTOR NAPOLEON WILLIAM,,Lieutenant,LT,0
HORAN,HENRY JAMES,,Captain,CPT,0
HORAN,JAMES AMBROSE,,Lieutenant,LT,0
HORNER,ASA MILTON,,Lieutenant,LT,0
HORTON,JOHN ROBERT,,Lieutenant,LT,0
HOSIE,ARTHUR DAVID,,Lieutenant,LT,0
HOWARD,FRANCIS CARL,,Lieutenant,LT,0
HOWARD,RUPERT,,Lieutenant,LT,0
HOWSON,CHARLES EDWIN,,Lieutenant,LT,0
HUDSON,WILLIAM HENRY,,Captain,CPT,0
HUTTON,LINCOLN GEORGE,,Lieutenant,LT,0
HYMAN,EUGENE MCMAHON,,Lieutenant,LT,0
INKSETTER,GEORGE ADDISON,,Lieutenant Colonel,LCL,0
IRVING,ARTHUR BEAUFIN,,Lieutenant,LT,0
IRVING,WILLIAM ALEXANDER,,Major,MAJ,0
JENSEN,ERNEST PETER,,Lieutenant,LT,0
JESSOP,JOHN REGINALD,,Lieutenant,LT,0
JOHNSON,ALBERT LEWIS BRIGHTMORE,,Captain,CPT,0
JOHNSTON,ARTHUR THOMAS,,Major,MAJ,0
JOHNSTONE,LEWIS HOWARD,,Captain,LT,0
JOLLY,WILLIAM JAMES,,Lieutenant,LT,0
KENDALL,ERNEST,,Captain,CPT,0
